internship,company_name,skills,perks,location,duration,stipend,applicants,ifSkillsorPerksMissingUseThis
Software Testing,Times Internet,Software Testing,"Certificate, 5 days a week",Noida,6 Months,8000 /month,119 applicants,"Software Testing, Certificate
5 days a week"
Technical Operations - Networking And Monitoring,Paytm Payments Bank,"Java, SQL, Unix, Oracle, MS SQL Server, Hibernate (Java), Shell Scripting, Spring MVC, REST API","Certificate, Letter of recommendation, 5 days a week, Job offer",Noida,6 Months,10000 /month,194 applicants,"Java
SQL
Unix
Oracle
MS SQL Server
Hibernate (Java)
Shell Scripting
Spring MVC
REST API, Certificate
Letter of recommendation
5 days a week
Job offer"
Software Project Management,IIT Bombay,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written)","Certificate, Letter of recommendation, Flexible work hours, 5 days a week",Work From Home,6 Months,1000-2000 /month,113 applicants,"English Proficiency (Spoken)
English Proficiency (Written)
Hindi Proficiency (Spoken)
Hindi Proficiency (Written), Certificate
Letter of recommendation
Flexible work hours
5 days a week"
Web Development,IIT Bombay,"HTML, CSS, Flask, Python, Django","Certificate, Letter of recommendation, Flexible work hours, 5 days a week",Work From Home,6 Months,1000-2000 /month,183 applicants,"HTML
CSS
Flask
Python
Django, Certificate
Letter of recommendation
Flexible work hours
5 days a week"
Front End Development,IIT Bombay,"HTML, CSS, JavaScript, ReactJS, Redux","Certificate, Letter of recommendation, Flexible work hours, 5 days a week",Work From Home,6 Months,1000-2000 /month,205 applicants,"HTML
CSS
JavaScript
ReactJS
Redux, Certificate
Letter of recommendation
Flexible work hours
5 days a week"
Web Design,IIT Bombay,"HTML, CSS, JavaScript","Certificate, Letter of recommendation, Flexible work hours, 5 days a week",Work From Home,6 Months,1000-2000 /month,457 applicants,"HTML
CSS
JavaScript, Certificate
Letter of recommendation
Flexible work hours
5 days a week"
Node.js Development,IIT Bombay,"JavaScript, Ruby on Rails, SQL, Node.js, SQLite, REST API","Certificate, Letter of recommendation, Flexible work hours, 5 days a week",Work From Home,6 Months,2000 /month,54 applicants,"JavaScript
Ruby on Rails
SQL
Node.js
SQLite
REST API, Certificate
Letter of recommendation
Flexible work hours
5 days a week"
C++ Development (QT Creation),IIT Bombay,"Python, Data Structures, C Programming, C++ Programming","Certificate, Letter of recommendation, Flexible work hours, 5 days a week",Work From Home,6 Months,1000-2000 /month,618 applicants,"Python
Data Structures
C Programming
C++ Programming, Certificate
Letter of recommendation
Flexible work hours
5 days a week"
Quality Control & Testing,Veritos Infosolutions Private Limited,"MS-Office, Software Testing",,"Ambala, Chandigarh, Ludhiana, Zirakpur, Mohali",6 Months,6000-7000 /month,Be an early applicant,"MS-Office
Software Testing, Certificate
Letter of recommendation
Informal dress code
5 days a week"
Software Support Engineering,Ori,,,Noida,6 Months,15000 /month,Be an early applicant,"Certificate
Flexible work hours
5 days a week
Job offer"
